date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T09:45,17.2,62.9
2026-06-25,2026-06-25T11:00,17.5,63.5
2026-06-25,2026-06-25T11:00,17.5,63.5
2026-06-25,2026-06-25T11:00,17.5,63.5
2026-06-25,2026-06-25T11:00,17.5,63.5
2026-06-25,2026-06-25T11:00,17.5,63.5
2026-06-25,2026-06-25T11:15,17.4,63.3
2026-06-25,2026-06-25T11:30,17.4,63.3
2026-06-25,2026-06-25T11:45,17.3,63.1
2026-06-25,2026-06-25T11:45,17.3,63.1
2026-06-25,2026-06-25T12:00,17.0,62.6
2026-06-25,2026-06-25T14:00,11.3,52.3
2026-06-25,2026-06-25T14:00,11.3,52.3
2026-06-25,2026-06-25T14:00,11.0,51.8
2026-06-25,2026-06-25T14:00,11.0,51.8
2026-06-25,2026-06-25T14:15,10.6,51.1
2026-06-25,2026-06-25T14:15,10.6,51.1
2026-06-25,2026-06-25T14:15,10.6,51.1
2026-06-25,2026-06-25T14:15,10.6,51.1
2026-06-25,2026-06-25T14:15,10.6,51.1
2026-06-25,2026-06-25T14:30,10.4,50.7
2026-06-25,2026-06-25T14:45,10.2,50.4
2026-06-26,2026-06-26T09:45,19.7,67.5
2026-06-26,2026-06-26T09:45,19.7,67.5
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-26,2026-06-26T10:00,19.9,67.8
2026-06-27,2026-06-26T18:45,15.0,59.0
2026-06-27,2026-06-26T18:45,15.0,59.0
2026-06-27,2026-06-26T18:45,15.0,59.0
2026-06-30,2026-06-29T17:00,15.4,59.7
2026-07-02,2026-07-02T15:00,15.5,59.9
2026-07-03,2026-07-03T02:45,10.9,51.6
2026-07-03,2026-07-03T10:00,15.5,59.9
2026-07-04,2026-07-04T01:00,7.3,45.1
2026-07-04,2026-07-04T08:45,17.5,63.5
2026-07-04,2026-07-04T13:30,15.7,60.3
2026-07-05,2026-07-05T01:30,11.7,53.1
2026-07-05,2026-07-05T08:45,23.0,73.4
2026-07-05,2026-07-05T13:30,20.7,69.3
2026-07-06,2026-07-06T05:15,12.6,54.7
2026-07-06,2026-07-06T15:00,11.6,52.9
2026-07-07,2026-07-07T09:00,14.4,57.9
2026-07-07,2026-07-07T14:45,10.4,50.7
2026-07-08,2026-07-08T00:30,6.5,43.7
2026-07-08,2026-07-08T10:00,19.3,66.7
2026-07-09,2026-07-09T03:30,11.6,52.9
2026-07-09,2026-07-09T11:15,24.2,75.6
2026-07-10,2026-07-10T03:30,16.1,61.0
2026-07-10,2026-07-10T11:00,21.9,71.4
2026-07-11,2026-07-10T23:15,17.3,63.1
2026-07-11,2026-07-11T08:30,19.4,66.9
2026-07-11,2026-07-11T13:00,18.9,66.0
2026-07-12,2026-07-12T00:30,15.7,60.3
2026-07-12,2026-07-12T08:30,17.9,64.2
2026-07-12,2026-07-12T13:00,17.6,63.7
2026-07-13,2026-07-13T01:30,8.6,47.5
2026-07-14,2026-07-13T23:15,8.9,48.0
2026-07-14,2026-07-14T05:00,12.2,54.0
2026-07-14,2026-07-14T13:30,17.3,63.1
2026-07-15,2026-07-14T23:30,11.8,53.2
2026-07-15,2026-07-15T05:00,13.6,56.5
2026-07-15,2026-07-15T13:30,20.5,68.9
2026-07-16,2026-07-15T23:30,15.6,60.1
2026-07-16,2026-07-16T13:00,25.6,78.1
2026-07-17,2026-07-16T23:15,22.4,72.3
2026-07-17,2026-07-17T04:45,22.5,72.5
2026-07-17,2026-07-17T09:30,27.9,82.2
2026-07-17,2026-07-17T13:15,27.0,80.6
2026-07-18,2026-07-18T08:30,26.8,80.2
2026-07-18,2026-07-18T13:00,27.1,80.8
2026-07-19,2026-07-19T00:15,22.4,72.3
2026-07-19,2026-07-19T08:30,26.5,79.7
2026-07-19,2026-07-19T10:15,27.1,80.8
