date,max_temp,min_temp
2021-08-01,21.3,9.5
2021-08-02,21.5,7.9
2021-08-03,22.2,7.6
2021-08-04,23.4,11.4
2021-08-05,23.9,13.3
2021-08-06,27.1,15.7
2021-08-07,28.3,17.0
2021-08-08,29.2,16.6
2021-08-09,28.6,16.6
2021-08-10,18.1,13.3
2021-08-11,18.8,12.9
2021-08-12,19.6,12.5
2021-08-13,19.9,12.8
2021-08-14,22.9,13.4
2022-08-01,26.3,14.5
2022-08-02,29.3,18.7
2022-08-03,29.6,17.6
2022-08-04,23.8,14.8
2022-08-05,20.9,12.3
2022-08-06,17.3,13.4
2022-08-07,19.6,13.3
2022-08-08,23.5,15.0
2022-08-09,17.9,11.3
2022-08-10,15.8,8.9
2022-08-11,21.0,8.9
2022-08-12,22.4,11.9
2022-08-13,24.9,13.3
2022-08-14,27.7,16.0
2023-08-01,26.9,15.9
2023-08-02,27.2,15.4
2023-08-03,27.7,14.8
2023-08-04,28.2,16.3
2023-08-05,28.2,16.4
2023-08-06,28.4,16.3
2023-08-07,23.3,17.5
2023-08-08,24.0,16.9
2023-08-09,21.6,16.2
2023-08-10,27.5,17.8
2023-08-11,28.2,18.0
2023-08-12,21.3,11.9
2023-08-13,19.1,10.3
2023-08-14,24.8,11.7
2024-08-01,28.1,17.8
2024-08-02,28.5,18.6
2024-08-03,28.0,22.3
2024-08-04,24.1,19.8
2024-08-05,27.4,18.8
2024-08-06,28.7,20.0
2024-08-07,23.5,16.1
2024-08-08,17.5,9.6
2024-08-09,14.4,6.7
2024-08-10,15.7,5.8
2024-08-11,18.1,6.4
2024-08-12,15.8,6.3
2024-08-13,18.8,5.3
2024-08-14,23.7,9.3
2025-08-01,26.6,13.9
2025-08-02,28.3,17.4
2025-08-03,27.9,16.5
2025-08-04,20.4,17.3
2025-08-05,23.9,16.0
2025-08-06,23.2,15.4
2025-08-07,23.8,13.8
2025-08-08,17.4,8.6
2025-08-09,14.1,6.6
2025-08-10,19.0,6.2
2025-08-11,20.1,7.0
2025-08-12,21.4,8.0
2025-08-13,23.6,9.9
2025-08-14,23.5,10.6
